iter	Passed	Remaining
0	137	27370
1	141	13988
2	144	9516
3	149	7316
4	152	5959
5	156	5052
6	160	4415
7	163	3925
8	166	3539
9	169	3228
10	173	2987
11	176	2764
12	178	2573
13	181	2408
14	182	2255
15	184	2119
16	185	2000
17	187	1895
18	188	1796
19	189	1708
20	191	1628
21	192	1555
22	193	1487
23	194	1425
24	195	1367
25	196	1313
26	197	1263
27	198	1218
28	199	1175
29	200	1133
30	201	1095
31	201	1059
32	202	1025
33	203	993
34	204	963
35	205	935
36	206	907
37	206	881
38	207	856
39	208	832
40	208	810
41	209	788
42	210	768
43	211	748
44	211	729
45	212	711
46	213	693
47	213	676
48	214	660
49	215	645
50	215	631
51	216	616
52	217	603
53	218	589
54	218	576
55	219	564
56	220	551
57	220	540
58	221	528
59	221	517
60	222	506
61	222	495
62	223	485
63	223	475
64	224	466
65	224	456
66	225	447
67	226	438
68	226	430
69	227	421
70	227	413
71	228	405
72	228	398
73	229	390
74	230	383
75	230	376
76	231	369
77	231	362
78	232	355
79	232	349
80	233	342
81	233	336
82	234	329
83	234	324
84	235	318
85	235	312
86	236	306
87	236	301
88	237	296
89	237	290
90	238	285
91	239	280
92	239	275
93	240	270
94	240	266
95	241	261
96	241	256
97	242	252
98	243	247
99	243	243
100	244	239
101	244	235
102	245	231
103	245	227
104	246	223
105	247	219
106	247	215
107	248	211
108	248	207
109	249	204
110	250	200
111	250	196
112	251	193
113	251	189
114	252	186
115	252	183
116	253	179
117	253	176
118	254	173
119	255	170
120	255	166
121	256	163
122	256	160
123	257	157
124	258	154
125	258	151
126	259	149
127	259	146
128	260	143
129	260	140
130	261	137
131	262	135
132	262	132
133	263	129
134	263	127
135	264	124
136	264	121
137	265	119
138	266	116
139	266	114
140	267	111
141	267	109
142	268	106
143	268	104
144	269	102
145	270	99
146	270	97
147	271	95
148	271	93
149	272	90
150	273	88
151	273	86
152	274	84
153	274	82
154	275	79
155	276	77
156	276	75
157	277	73
158	277	71
159	278	69
160	278	67
161	279	65
162	279	63
163	280	61
164	280	59
165	281	57
166	282	55
167	282	53
168	283	51
169	283	50
170	284	48
171	285	46
172	285	44
173	286	42
174	286	40
175	287	39
176	288	37
177	288	35
178	289	33
179	289	32
180	290	30
181	290	28
182	291	27
183	292	25
184	292	23
185	293	22
186	293	20
187	294	18
188	294	17
189	295	15
190	296	13
191	296	12
192	297	10
193	297	9
194	298	7
195	299	6
196	299	4
197	300	3
198	301	1
199	301	0
